[WARN] [1754074326.418086199] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074327.418029944] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074328.418094026] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074329.418068311] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074330.418101720] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074331.418052268] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074332.418137538] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074333.418073812] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074334.418065818] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074335.418069405] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074336.418170470] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074337.418170960] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074338.418428131] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074339.418397866] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074340.418156734] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074341.418176945] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074342.418081628] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074343.418213457] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074344.418105814] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074345.418090232] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074346.418185521] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074347.418103779] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074348.418090254] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074349.418107693] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074350.418174153] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074351.418117877] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074352.418114457] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074353.418222876] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
