[INFO] [1755031016.732987579] [a200_0000.foxglove_bridge_component_manager]: Load Library: /opt/ros/jazzy/lib/libfoxglove_bridge_component.so
[INFO] [1755031016.742397327] [a200_0000.foxglove_bridge_component_manager]: Found class: rclcpp_components::NodeFactoryTemplate<foxglove_bridge::FoxgloveBridge>
[INFO] [1755031016.742428657] [a200_0000.foxglove_bridge_component_manager]: Instantiate class: rclcpp_components::NodeFactoryTemplate<foxglove_bridge::FoxgloveBridge>
[INFO] [1755031016.753370872] [a200_0000.foxglove_bridge]: Starting foxglove_bridge (jazzy, 0.8.5@) with WebSocket++/0.8.2
[INFO] [1755031016.754416781] [a200_0000.foxglove_bridge]: [WS] Server running without TLS
[INFO] [1755031016.754737377] [a200_0000.foxglove_bridge]: [WS] WebSocket server listening at ws://0.0.0.0:8765
[INFO] [1755031016.754744167] [a200_0000.foxglove_bridge]: [WS] WebSocket server run loop started
[INFO] [1755031019.000158639] [a200_0000.foxglove_bridge]: Removed channel 36 for topic "/ouster/signal_image" (sensor_msgs/msg/Image)
[INFO] [1755031207.123415427] [a200_0000.foxglove_bridge]: Removed channel 40 for topic "/goal_pose" (geometry_msgs/msg/PoseStamped)
[INFO] [1755031207.123457587] [a200_0000.foxglove_bridge]: Removed channel 42 for topic "/clicked_point" (geometry_msgs/msg/PointStamped)
[INFO] [1755031207.123465188] [a200_0000.foxglove_bridge]: Removed channel 49 for topic "/initialpose" (geometry_msgs/msg/PoseWithCovarianceStamped)
[INFO] [1755031475.328000934] [a200_0000.foxglove_bridge]: Removed channel 77 for topic "/map" (sensor_msgs/msg/PointCloud2)
[INFO] [1755031475.328038155] [a200_0000.foxglove_bridge]: Removed channel 76 for topic "/slam_toolbox/feedback" (visualization_msgs/msg/InteractiveMarkerFeedback)
[INFO] [1755031475.328044415] [a200_0000.foxglove_bridge]: Removed channel 75 for topic "/dlio/odom_node/keyframes" (geometry_msgs/msg/PoseArray)
[INFO] [1755031475.328049295] [a200_0000.foxglove_bridge]: Removed channel 74 for topic "/slam_toolbox/scan_visualization" (sensor_msgs/msg/LaserScan)
[INFO] [1755031475.328053666] [a200_0000.foxglove_bridge]: Removed channel 73 for topic "/diagnostics" (diagnostic_msgs/msg/DiagnosticArray)
[INFO] [1755031475.328057966] [a200_0000.foxglove_bridge]: Removed channel 72 for topic "/slam_toolbox/graph_visualization" (visualization_msgs/msg/MarkerArray)
[INFO] [1755031475.328063096] [a200_0000.foxglove_bridge]: Removed channel 71 for topic "/dlio/odom_node/odom" (nav_msgs/msg/Odometry)
[INFO] [1755031475.328066946] [a200_0000.foxglove_bridge]: Removed channel 70 for topic "/pose" (geometry_msgs/msg/PoseWithCovarianceStamped)
[INFO] [1755031475.328071316] [a200_0000.foxglove_bridge]: Removed channel 69 for topic "/bond" (bond/msg/Status)
[INFO] [1755031475.328075086] [a200_0000.foxglove_bridge]: Removed channel 68 for topic "/dlio/odom_node/path" (nav_msgs/msg/Path)
[INFO] [1755031475.328079066] [a200_0000.foxglove_bridge]: Removed channel 67 for topic "/clock" (rosgraph_msgs/msg/Clock)
[INFO] [1755031475.328082426] [a200_0000.foxglove_bridge]: Removed channel 66 for topic "/dlio/odom_node/pointcloud/deskewed" (sensor_msgs/msg/PointCloud2)
[INFO] [1755031475.328087216] [a200_0000.foxglove_bridge]: Removed channel 65 for topic "/dlio/odom_node/pointcloud/keyframe" (sensor_msgs/msg/PointCloud2)
[INFO] [1755031475.328091766] [a200_0000.foxglove_bridge]: Removed channel 64 for topic "/dlio/odom_node/pose" (geometry_msgs/msg/PoseStamped)
[INFO] [1755031475.328096196] [a200_0000.foxglove_bridge]: Removed channel 62 for topic "/map_metadata" (nav_msgs/msg/MapMetaData)
[INFO] [1755031475.328099847] [a200_0000.foxglove_bridge]: Removed channel 61 for topic "/slam_toolbox/transition_event" (lifecycle_msgs/msg/TransitionEvent)
[INFO] [1755031475.328108117] [a200_0000.foxglove_bridge]: Removed channel 60 for topic "/slam_toolbox/update" (visualization_msgs/msg/InteractiveMarkerUpdate)
