[INFO] [1755201552.782045332] [a200_0000.foxglove_bridge_component_manager]: Load Library: /opt/ros/jazzy/lib/libfoxglove_bridge_component.so
[INFO] [1755201552.791485990] [a200_0000.foxglove_bridge_component_manager]: Found class: rclcpp_components::NodeFactoryTemplate<foxglove_bridge::FoxgloveBridge>
[INFO] [1755201552.791510820] [a200_0000.foxglove_bridge_component_manager]: Instantiate class: rclcpp_components::NodeFactoryTemplate<foxglove_bridge::FoxgloveBridge>
[INFO] [1755201552.802121941] [a200_0000.foxglove_bridge]: Starting foxglove_bridge (jazzy, 0.8.5@) with WebSocket++/0.8.2
[INFO] [1755201552.803831252] [a200_0000.foxglove_bridge]: [WS] Server running without TLS
[INFO] [1755201552.804094353] [a200_0000.foxglove_bridge]: [WS] WebSocket server listening at ws://0.0.0.0:8765
[INFO] [1755201552.804122973] [a200_0000.foxglove_bridge]: [WS] WebSocket server run loop started
[INFO] [1755201592.498212240] [a200_0000.foxglove_bridge]: Removed channel 47 for topic "/map_updates" (map_msgs/msg/OccupancyGridUpdate)
[INFO] [1755201605.169768505] [a200_0000.foxglove_bridge]: Removed channel 71 for topic "/dlio/odom_node/keyframes" (geometry_msgs/msg/PoseArray)
[INFO] [1755201605.169811675] [a200_0000.foxglove_bridge]: Removed channel 70 for topic "/dlio/odom_node/path" (nav_msgs/msg/Path)
[INFO] [1755201605.169816785] [a200_0000.foxglove_bridge]: Removed channel 68 for topic "/bond" (bond/msg/Status)
[INFO] [1755201605.169820525] [a200_0000.foxglove_bridge]: Removed channel 67 for topic "/dlio/odom_node/pose" (geometry_msgs/msg/PoseStamped)
[INFO] [1755201605.169825265] [a200_0000.foxglove_bridge]: Removed channel 66 for topic "/dlio/odom_node/odom" (nav_msgs/msg/Odometry)
[INFO] [1755201605.169829745] [a200_0000.foxglove_bridge]: Removed channel 65 for topic "/map_metadata" (nav_msgs/msg/MapMetaData)
[INFO] [1755201605.169833745] [a200_0000.foxglove_bridge]: Removed channel 64 for topic "/dlio/odom_node/pointcloud/deskewed" (sensor_msgs/msg/PointCloud2)
[INFO] [1755201605.169838475] [a200_0000.foxglove_bridge]: Removed channel 62 for topic "/pose" (geometry_msgs/msg/PoseWithCovarianceStamped)
[INFO] [1755201605.169842735] [a200_0000.foxglove_bridge]: Removed channel 61 for topic "/slam_toolbox/feedback" (visualization_msgs/msg/InteractiveMarkerFeedback)
[INFO] [1755201605.169852705] [a200_0000.foxglove_bridge]: Removed channel 60 for topic "/slam_toolbox/graph_visualization" (visualization_msgs/msg/MarkerArray)
[INFO] [1755201605.169869105] [a200_0000.foxglove_bridge]: Removed channel 54 for topic "/clock" (rosgraph_msgs/msg/Clock)
[INFO] [1755201605.169872455] [a200_0000.foxglove_bridge]: Removed channel 55 for topic "/dlio/odom_node/pointcloud/keyframe" (sensor_msgs/msg/PointCloud2)
[INFO] [1755201605.169876415] [a200_0000.foxglove_bridge]: Removed channel 56 for topic "/slam_toolbox/transition_event" (lifecycle_msgs/msg/TransitionEvent)
[INFO] [1755201605.169880265] [a200_0000.foxglove_bridge]: Removed channel 57 for topic "/dlio/pointcloud_map" (sensor_msgs/msg/PointCloud2)
[INFO] [1755201605.169884275] [a200_0000.foxglove_bridge]: Removed channel 58 for topic "/slam_toolbox/update" (visualization_msgs/msg/InteractiveMarkerUpdate)
[INFO] [1755201605.169888605] [a200_0000.foxglove_bridge]: Removed channel 59 for topic "/slam_toolbox/scan_visualization" (sensor_msgs/msg/LaserScan)
[INFO] [1755201618.261968509] [a200_0000.foxglove_bridge]: Removed channel 81 for topic "/map_updates" (map_msgs/msg/OccupancyGridUpdate)
[INFO] [1755202022.437359284] [a200_0000.foxglove_bridge]: Removed channel 97 for topic "/dlio/pointcloud_map" (sensor_msgs/msg/PointCloud2)
[INFO] [1755202022.437399304] [a200_0000.foxglove_bridge]: Removed channel 96 for topic "/slam_toolbox/feedback" (visualization_msgs/msg/InteractiveMarkerFeedback)
