[INFO] [1754062983.076666804] [a200_0000.controller_manager]: Using Steady (Monotonic) clock for triggering controller manager cycles.
[INFO] [1754062983.082534678] [a200_0000.controller_manager]: Subscribing to '/a200_0000/robot_description' topic for robot description.
[INFO] [1754062983.138435120] [a200_0000.controller_manager]: update rate is 20 Hz
[INFO] [1754062983.138505406] [a200_0000.controller_manager]: Spawning controller_manager RT thread with scheduler priority: 50
[WARN] [1754062983.138634617] [a200_0000.controller_manager]: Could not enable FIFO RT scheduling policy: with error number <1>(Operation not permitted). See [https://control.ros.org/master/doc/ros2_control/controller_manager/doc/userdoc.html] for details on how to enable realtime scheduling.
[INFO] [1754062983.139328582] [a200_0000.controller_manager]: Received robot description from topic.
[INFO] [1754062983.141742619] [a200_0000.controller_manager]: Loading hardware 'a200_hardware' 
[INFO] [1754062983.142876212] [a200_0000.controller_manager]: Loaded hardware 'a200_hardware' from plugin 'clearpath_hardware_interfaces/A200Hardware'
[INFO] [1754062983.142936720] [a200_0000.controller_manager]: Initialize hardware 'a200_hardware' 
[INFO] [1754062983.142980471] [A200Hardware]: Name: a200_hardware
[INFO] [1754062983.142983213] [A200Hardware]: Number of Joints 4
[INFO] [1754062983.240033028] [A200Hardware]: Port: /dev/clearpath/prolific
[ERROR] [1754062983.240174883] [a200_0000.controller_manager]: Unknown exception occurred while initializing hardware 'a200_hardware'
[WARN] [1754062983.240221627] [a200_0000.controller_manager]: System hardware component 'a200_hardware' from plugin 'clearpath_hardware_interfaces/A200Hardware' failed to initialize.
[WARN] [1754062983.257843043] [a200_0000.controller_manager]: Could not load and initialize hardware. Please check previous output for more details. After you have corrected your URDF, try to publish robot description again.
[WARN] [1754062984.081815236] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754062985.081820941] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754062986.081766100] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754062987.081759199] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754062988.081764485] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754062989.081802824] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754062990.081767251] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754062991.081824590] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754062992.081758213] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754062993.081753171] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754062994.081754678] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754062995.081795011] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754062996.081802179] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754062997.081746668] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754062998.081750209] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754062999.081824152] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063000.081753544] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063001.081722712] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063002.081802680] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063003.081750940] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063004.081769969] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063005.081720312] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063006.081751388] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063007.081781807] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063008.081831153] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063009.081764818] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063010.081752757] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063011.081753730] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063012.081751152] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063013.081820108] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063014.081723564] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063015.081816994] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063016.081793863] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063017.081828759] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063018.081810379] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063019.081804794] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063020.081721563] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063021.081720909] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063022.081720510] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063023.081799779] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063024.081721192] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063025.081723361] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063026.081766280] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063027.081728508] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063028.081784788] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063029.081756345] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063030.081722117] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063031.081724644] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063032.081755729] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063033.081725922] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063034.081752473] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063035.081752535] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063036.081740996] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063037.081720756] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063038.081720740] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063039.081749524] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063040.081752360] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063041.081748154] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063042.081764678] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063043.081781492] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063044.081751296] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063045.081732330] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063046.081705594] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063047.081769927] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063048.081722142] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063049.081810561] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063050.081760190] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063051.081730545] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063052.081858752] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063053.081721231] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063054.081834536] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063055.081720411] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063056.081725356] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063057.081755073] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063058.081722054] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754063059.081793481] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
